Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     31.13     0.00       40     0.00     0.00  Vector* std::__uninitialized_copy_a<Vector const*, Vector*, Vector>(Vector const*, Vector const*, Vector*, std::allocator<Vector>&)
  0.00     31.13     0.00       40     0.00     0.00  Vector* std::__uninitialized_move_if_noexcept_a<Vector*, Vector*, std::allocator<Vector> >(Vector*, Vector*, Vector*, std::allocator<Vector>&)
  0.00     31.13     0.00       34     0.00     0.00  void std::_Destroy_aux<true>::__destroy<std::complex<double>*>(std::complex<double>*, std::complex<double>*)
  0.00     31.13     0.00       34     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_M_deallocate(std::complex<double>*, unsigned long)
  0.00     31.13     0.00       34     0.00     0.00  void std::_Destroy<std::complex<double>*>(std::complex<double>*, std::complex<double>*)
  0.00     31.13     0.00       34     0.00     0.00  void std::_Destroy<std::complex<double>*, std::complex<double> >(std::complex<double>*, std::complex<double>*, std::allocator<std::complex<double> >&)
  0.00     31.13     0.00       31     0.00     0.00  __gnu_cxx::new_allocator<std::complex<double> >::deallocate(std::complex<double>*, unsigned long)
  0.00     31.13     0.00       31     0.00     0.00  __gnu_cxx::new_allocator<std::complex<double> >::allocate(unsigned long, void const*)
  0.00     31.13     0.00       31     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >::difference_type __gnu_cxx::operator-<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >(__gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > > const&, __gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > > const&)
  0.00     31.13     0.00       31     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::_M_check_len(unsigned long, char const*) const
  0.00     31.13     0.00       31     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_M_allocate(unsigned long)
  0.00     31.13     0.00       31     0.00     0.00  std::allocator_traits<std::allocator<std::complex<double> > >::deallocate(std::allocator<std::complex<double> >&, std::complex<double>*, unsigned long)
  0.00     31.13     0.00       31     0.00     0.00  std::allocator_traits<std::allocator<std::complex<double> > >::allocate(std::allocator<std::complex<double> >&, unsigned long)
  0.00     31.13     0.00       31     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::end()
  0.00     31.13     0.00       31     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::begin()
  0.00     31.13     0.00       22     0.00     0.00  void std::_Destroy_aux<false>::__destroy<Vector*>(Vector*, Vector*)
  0.00     31.13     0.00       22     0.00     0.00  std::_Vector_base<Vector, std::allocator<Vector> >::_M_deallocate(Vector*, unsigned long)
  0.00     31.13     0.00       22     0.00     0.00  void std::_Destroy<Vector*>(Vector*, Vector*)
  0.00     31.13     0.00       22     0.00     0.00  void std::_Destroy<Vector*, Vector>(Vector*, Vector*, std::allocator<Vector>&)
  0.00     31.13     0.00       20     0.00     0.00  __gnu_cxx::new_allocator<Vector>::deallocate(Vector*, unsigned long)
  0.00     31.13     0.00       20     0.00     0.00  __gnu_cxx::new_allocator<Vector>::allocate(unsigned long, void const*)
  0.00     31.13     0.00       20     0.00     0.00  __gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >::difference_type __gnu_cxx::operator-<Vector*, std::vector<Vector, std::allocator<Vector> > >(__gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > > const&, __gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > > const&)
  0.00     31.13     0.00       20     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::_M_check_len(unsigned long, char const*) const
  0.00     31.13     0.00       20     0.00     0.00  std::_Vector_base<Vector, std::allocator<Vector> >::_M_allocate(unsigned long)
  0.00     31.13     0.00       20     0.00     0.00  std::allocator_traits<std::allocator<Vector> >::deallocate(std::allocator<Vector>&, Vector*, unsigned long)
  0.00     31.13     0.00       20     0.00     0.00  std::allocator_traits<std::allocator<Vector> >::allocate(std::allocator<Vector>&, unsigned long)
  0.00     31.13     0.00       20     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::end()
  0.00     31.13     0.00       20     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::begin()
  0.00     31.13     0.00       20     0.00     0.00  void std::vector<std::complex<double>, std::allocator<std::complex<double> > >::_M_realloc_insert<std::complex<double> >(__gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, std::complex<double>&&)
